Brand,Family,Reference,Name,Movement,Produced,Limited,Bezel,Glass,Back,Shape,Diameter,Height,Lug Width,W/R,Nickname,Color,Finish,Indexes,Hands,Price,Materials,image_file,image_file_processed
Zenith,Defy,95.9000.670-78.M9000,Defy Classic Titanium / Skeleton / Bracelet,"Zenith caliber Elite 670 SK
Hours, Minutes, Seconds | Date | Skeleton",2018,No,,Sapphire,Open,Round,41.00 mm,10.75 mm,,100.00 m,,Skeleton,,Stick / Dot,Stick,"""7600""",,95.9000.670-78.M9000.jpg,processed_95.9000.670-78.M9000.jpg
Zenith,Elite,16.2310.692-92.M2310,Elite Ultra Thin Lady Moonphase Purple / Diamond / Bracelet,"Zenith caliber Elite 692
Hours, Minutes, Small Seconds | Moonphase",2015,No,Gem-Set,Sapphire,Open,Round,33.00 mm,8.65 mm,,30.00 m,,Purple,Sunburst,Gem-Set Indexes,Dauphine,,,16.2310.692-92.M2310.jpg,processed_16.2310.692-92.M2310.jpg
Zenith,Elite,03.2122.685-01.C498,Elite Power Reserve,"Zenith caliber Elite 685
Hours, Minutes, Small Seconds | Date | Power Reserve Indicator",,No,,Sapphire,Open,Round,40.00 mm,9.25 mm,,50.00 m,,Silver,,Stick / Dot,Feuille,,,03.2122.685-01.C498.jpg,processed_03.2122.685-01.C498.jpg
Zenith,El Primero,03.2040.4061-69.C777,El Primero Chronomaster Open Stainless Steel / Silver 1969 / Alligator,"Zenith caliber El Primero 4061
Hours, Minutes, Small Seconds | Chronograph, Column wheel",2016,No,,Sapphire,Open,Round,42.00 mm,14.05 mm,,100.00 m,,Silver,,Stick / Dot,Stick,"""8800""",,03.2040.4061-69.C777.jpg,processed_03.2040.4061-69.C777.jpg
Zenith,El Primero,03.2050.4035-21.C714,El Primero Tourbillon,"Zenith caliber El Primero 4035 D
Hours, Minutes, Small Seconds | Date | Chronograph, Column wheel | Tourbillon Escapement",,No,,Sapphire,Open,Round,44.00 mm,15.60 mm,,,,Black,,Stick / Dot,Stick,"""42200""",,03.2050.4035-21.C714.jpg,processed_03.2050.4035-21.C714.jpg
Zenith,Elite,18.2290.679-18.C498,Elite Classic Rose Gold / Brown / Alligator,"Zenith caliber Elite 679
Hours, Minutes, Seconds",,No,,Sapphire,Open,Round,39.00 mm,9.45 mm,20.00 mm,50.00 m,,Brown,Sunburst,Stick / Dot,Feuille,"""9900""",,18.2290.679-18.C498.jpg,processed_18.2290.679-18.C498.jpg
Zenith,Defy,18.9000.9004-71.M9000,Defy El Primero 21 Rose Gold / Skeleton / Bracelet,"Zenith caliber El Primero 9004
Hours, Minutes, Small Seconds | Chronograph | Chronometer, Power Reserve Indicator",2018,No,,Sapphire,Open,Round,44.00 mm,14.50 mm,23.00 mm,100.00 m,,Skeleton,,Stick / Dot,Stick,"""41300""",,18.9000.9004-71.M9000.jpg,processed_18.9000.9004-71.M9000.jpg
Zenith,Elite,18.2270.4069-01.C498,Elite Chronograph Classic Rose Gold,"Zenith caliber El Primero 4069
Hours, Minutes, Small Seconds | Chronograph, Column wheel",2015,No,,Sapphire,Open,Round,42.00 mm,11.80 mm,,50.00 m,,Silver,Sunburst,Stick / Dot,Feuille,,,18.2270.4069-01.C498.jpg,processed_18.2270.4069-01.C498.jpg
Zenith,Elite,03.2290.679-26.C493,Elite Classic Stainless Steel / Black / Alligator,"Zenith caliber Elite 679
Hours, Minutes, Seconds",,No,,Sapphire,Open,Round,39.00 mm,9.45 mm,20.00 mm,50.00 m,,Black,Sunburst,Stick / Dot,Feuille,"""4900""",,03.2290.679-26.C493.jpg,processed_03.2290.679-26.C493.jpg
Zenith,El Primero,03.2091.410-01.C494,El Primero 410,"Zenith caliber El Primero 410
Hours, Minutes, Small Seconds | Date, Day, Month | Chronograph, Column wheel | Moonphase",,No,,Sapphire,Open,Round,42.00 mm,12.75 mm,,50.00 m,,Silver,,Stick / Dot,Stick,,,03.2091.410-01.C494.jpg,processed_03.2091.410-01.C494.jpg
Zenith,Defy,95.9000.9004-78.R582,Defy El Primero 21 Titanium / Skeleton / Alligator,"Zenith caliber El Primero 9004
Hours, Minutes, Small Seconds | Chronograph | Chronometer, Power Reserve Indicator",2017,No,,Sapphire,Open,Round,44.00 mm,14.50 mm,23.00 mm,100.00 m,,Skeleton,,Stick / Dot,Stick,"""12100""",,95.9000.9004-78.R582.jpg,processed_95.9000.9004-78.R582.jpg
Zenith,Elite,03.2270.4069-01.C493,Elite Chronograph Classic Stainless Steel / Silver / Alligator,"Zenith caliber El Primero 4069
Hours, Minutes, Small Seconds | Chronograph, Column wheel",2015,No,,Sapphire,Open,Round,42.00 mm,11.80 mm,,50.00 m,,Silver,Sunburst,Stick / Dot,Feuille,,,03.2270.4069-01.C493.jpg,processed_03.2270.4069-01.C493.jpg
